righe_modificate,file_modificati,test_modificati,dipendenze_aggiornate,ore_da_ultima_build_verde,commit_autore_nel_repo,tipo_ramo,fallita
126,5,2,1,1.5,3,feature,0
29,10,1,0,58.5,104,feature,1
206,7,2,0,24.0,83,feature,1
253,6,1,0,4.9,237,feature,0
11,13,2,0,1.8,35,feature,0
21,5,1,0,10.8,16,feature,0
104,9,0,0,1.3,56,hotfix,0
64,3,1,0,0.7,48,feature,0
88,4,3,0,7.3,9,feature,0
35,4,1,0,13.5,75,feature,0
237,6,2,1,3.2,44,hotfix,1
212,7,0,0,4.9,204,hotfix,0
97,5,3,0,44.6,76,feature,0
311,14,2,0,14.6,31,hotfix,0
151,4,2,0,39.8,68,feature,0
35,7,3,0,15.4,81,feature,0
135,10,2,0,9.5,112,feature,0
31,13,1,0,2.6,71,hotfix,1
237,11,2,1,0.3,309,feature,0
85,4,0,1,8.1,18,feature,1
73,5,0,0,32.2,43,feature,1
43,6,0,0,2.4,31,feature,0
345,15,2,0,2.1,50,release,0
76,3,4,0,17.5,90,feature,0
56,7,4,0,1.2,85,release,0
61,3,3,0,2.7,110,feature,0
162,6,2,0,23.5,76,hotfix,0
135,4,3,0,2.6,80,release,0
142,5,1,0,21.5,77,feature,0
145,9,1,0,13.6,45,feature,0
949,19,2,0,34.6,42,feature,1
58,4,2,0,13.6,30,feature,0
51,3,2,0,1.3,115,feature,0
37,3,2,0,46.1,4,release,1
177,10,1,0,1.4,78,feature,0
312,10,2,0,6.7,133,feature,0
79,7,0,0,15.6,162,feature,0
36,2,2,0,5.3,2,feature,0
36,5,2,0,3.3,47,feature,0
184,4,2,0,13.1,32,feature,0
204,12,3,0,1.8,43,hotfix,0
164,9,1,0,0.9,189,feature,0
43,5,1,0,6.3,32,feature,0
116,3,2,0,42.4,133,feature,0
102,4,0,0,13.0,79,feature,0
114,4,3,0,2.4,41,feature,0
235,8,1,0,27.7,37,feature,1
115,7,3,0,1.1,86,feature,0
190,8,2,0,37.2,64,hotfix,1
97,12,5,0,11.7,8,feature,0
124,6,2,0,1.0,25,feature,1
180,12,3,0,16.4,88,release,0
18,4,0,0,10.1,17,release,0
63,7,1,0,9.2,148,feature,0
54,5,0,0,9.6,11,release,0
45,6,1,0,7.8,53,hotfix,0
67,5,2,0,6.5,118,feature,0
466,11,7,0,31.9,22,feature,0
35,6,2,0,5.1,16,feature,0
261,10,2,1,19.3,101,feature,1
14,7,1,0,26.3,136,release,0
62,6,3,0,28.0,57,feature,0
108,3,1,0,11.0,46,feature,0
172,8,3,0,9.8,11,feature,0
197,5,3,0,6.3,73,feature,0
215,8,4,0,2.2,6,hotfix,1
61,6,1,0,16.2,191,feature,1
54,2,3,0,13.7,59,feature,0
231,8,3,0,5.2,25,feature,1
73,3,1,0,0.8,37,hotfix,0
22,2,3,0,1.2,78,hotfix,0
26,2,2,0,7.4,43,feature,0
33,5,1,0,8.2,67,feature,0
156,6,0,1,11.2,21,feature,1
105,5,0,0,3.4,164,feature,0
192,9,2,0,21.8,37,feature,0
56,5,1,1,7.3,3,feature,1
107,7,1,0,6.8,47,hotfix,1
179,10,1,0,11.4,32,feature,1
64,16,2,1,12.1,156,feature,1
149,7,2,0,20.0,25,release,0
43,9,0,0,0.9,43,feature,1
60,6,3,0,13.3,80,release,0
59,6,2,0,10.0,111,feature,0
24,5,2,0,29.9,201,release,0
154,7,0,0,6.3,28,feature,1
54,5,1,1,13.1,184,hotfix,1
91,9,3,0,26.7,151,hotfix,1
153,5,3,0,27.4,31,feature,1
147,4,1,1,7.8,27,feature,1
187,6,2,0,1.1,95,feature,0
81,4,2,0,9.3,65,feature,1
57,4,2,0,9.4,95,release,0
82,5,3,0,29.0,49,feature,0
14,3,1,0,11.0,72,hotfix,0
18,4,2,0,7.9,60,feature,0
21,3,1,0,22.3,94,feature,0
30,6,3,0,19.7,26,release,0
140,17,5,0,17.7,77,feature,0
33,5,2,0,0.3,198,feature,0
59,4,3,1,2.4,189,feature,1
376,7,5,0,5.5,85,feature,0
61,13,1,0,5.3,26,feature,0
203,8,3,0,42.1,272,feature,0
32,4,2,0,30.5,94,feature,1
72,2,3,0,4.8,253,hotfix,0
32,5,1,0,0.9,97,feature,0
62,6,3,0,30.7,1,feature,1
227,7,1,0,1.2,271,feature,0
13,2,4,0,4.2,135,feature,0
145,4,3,0,6.5,69,hotfix,0
117,14,3,0,1.2,7,feature,0
47,5,2,0,8.9,147,feature,0
18,3,2,0,15.6,97,feature,0
97,6,1,0,8.5,330,feature,0
50,5,1,0,10.4,234,feature,0
116,4,0,1,19.4,83,feature,1
92,9,2,1,22.4,79,feature,1
524,13,2,0,0.0,98,feature,0
69,6,3,0,16.9,35,feature,0
29,10,1,0,6.8,71,feature,1
110,4,3,0,29.7,59,feature,0
115,5,1,1,7.9,180,feature,1
401,12,2,0,3.0,209,feature,0
226,11,2,0,8.5,121,feature,1
133,5,0,0,46.5,29,feature,1
450,11,4,0,13.2,284,feature,0
24,7,1,0,25.4,146,feature,1
45,15,2,0,3.8,92,feature,0
32,5,2,0,5.9,112,feature,0
59,4,0,0,10.3,14,feature,0
20,3,3,0,25.2,59,feature,0
181,7,1,0,4.9,192,feature,0
70,8,1,0,7.7,13,feature,0
18,18,2,0,0.1,12,feature,0
29,4,2,0,3.8,147,feature,0
127,7,5,0,39.3,105,hotfix,0
226,15,3,0,13.3,13,release,0
809,19,0,0,40.0,54,feature,1
2220,42,1,0,21.1,92,feature,1
142,12,0,0,28.1,83,feature,0
30,5,2,0,3.4,98,hotfix,0
9,3,1,0,69.1,50,feature,0
121,11,3,0,7.4,86,feature,0
37,2,1,1,13.5,121,hotfix,0
57,9,2,0,22.0,113,feature,0
46,5,1,0,15.7,51,feature,1
77,5,2,0,1.3,130,feature,0
291,8,1,0,9.7,25,feature,1
107,6,2,0,37.0,37,hotfix,1
76,5,2,0,36.4,147,feature,0
29,6,1,0,14.6,128,feature,0
14,4,1,0,7.8,56,feature,0
53,5,3,1,10.6,36,feature,0
85,3,1,0,4.0,41,hotfix,0
629,15,2,0,3.1,117,hotfix,0
104,5,2,0,20.9,99,release,0
265,12,1,0,3.6,34,hotfix,0
52,5,2,0,11.8,127,feature,0
24,7,2,0,43.3,54,feature,0
31,7,4,0,13.0,26,feature,0
41,7,1,0,14.7,45,feature,0
