priorita,componente,servizi_coinvolti,riproducibile,commenti_iniziali,esperienza_assegnatario,ore_risoluzione
2,frontend,1,1,3,0.7,3.3
3,frontend,2,1,1,4.6,3.1
2,infrastruttura,2,1,1,5.2,10.0
3,backend,2,1,1,7.0,3.9
3,frontend,2,1,2,2.0,4.2
3,backend,2,1,3,3.0,5.6
2,frontend,2,1,2,5.1,3.2
4,backend,1,1,1,2.2,5.2
2,backend,3,0,3,5.4,15.9
3,frontend,3,1,2,5.0,4.5
2,backend,1,0,1,0.6,10.5
2,backend,2,1,2,8.3,3.8
4,infrastruttura,1,1,1,2.2,5.0
1,database,2,1,2,4.7,8.2
4,backend,1,0,2,13.6,6.8
2,database,3,0,2,2.4,27.7
3,frontend,2,1,1,6.2,3.2
1,backend,3,0,3,15.7,11.5
3,frontend,2,0,3,6.8,4.1
4,frontend,2,0,1,9.4,4.0
3,backend,1,1,0,1.8,3.4
2,frontend,2,1,1,11.5,3.8
3,backend,1,0,3,1.0,15.9
3,backend,2,0,3,6.5,7.5
2,frontend,3,0,3,4.6,6.8
3,backend,2,1,5,3.7,8.5
3,backend,1,0,4,3.2,8.9
3,database,5,0,1,6.9,74.9
2,database,2,0,3,2.6,22.4
3,frontend,3,0,3,3.3,12.9
4,database,6,1,0,6.5,18.1
3,backend,3,0,5,9.2,17.6
3,frontend,1,1,2,4.2,2.1
4,backend,4,1,4,11.8,16.8
2,frontend,1,1,2,5.2,2.2
2,frontend,2,0,3,4.9,5.7
3,frontend,2,1,1,20.6,2.1
3,database,3,1,1,5.9,10.0
4,infrastruttura,2,1,1,14.5,4.4
3,infrastruttura,3,0,4,19.6,50.5
2,frontend,2,0,5,1.9,14.0
2,backend,1,1,3,2.6,4.2
1,database,3,1,0,1.2,14.8
4,frontend,3,1,4,7.3,8.4
2,backend,1,1,2,7.3,4.1
3,frontend,2,0,5,3.1,7.4
3,backend,5,1,1,0.6,26.7
2,backend,2,1,1,6.1,3.0
2,frontend,2,0,5,1.3,12.8
3,frontend,2,1,2,4.0,4.7
1,database,1,1,5,7.5,5.5
4,backend,2,1,2,5.1,6.3
4,frontend,3,1,0,9.1,3.9
1,frontend,4,1,1,3.8,4.4
4,infrastruttura,2,0,4,2.7,38.1
2,backend,4,0,4,2.3,25.9
1,backend,1,0,2,7.4,4.9
2,backend,4,0,4,4.4,20.5
4,infrastruttura,3,1,2,2.6,18.4
3,frontend,2,0,4,5.9,8.7
2,frontend,3,1,1,1.1,8.1
3,backend,1,1,0,4.8,3.1
3,database,3,1,0,5.6,12.1
3,frontend,3,1,1,6.1,6.8
3,frontend,4,1,2,11.8,5.3
4,frontend,3,1,1,3.7,5.7
3,backend,3,1,0,5.6,10.0
2,backend,3,1,2,6.2,9.1
4,backend,2,1,6,4.4,4.3
2,frontend,3,1,2,1.7,5.8
3,database,3,1,0,7.9,10.5
3,frontend,2,1,1,0.6,5.1
2,database,1,1,0,1.8,7.9
2,frontend,2,1,2,3.6,5.6
3,infrastruttura,3,1,2,1.8,15.6
4,backend,3,0,4,4.8,13.2
4,backend,2,1,1,9.7,3.7
3,frontend,3,1,1,14.8,3.1
2,frontend,2,0,4,4.5,9.9
2,database,2,1,3,5.9,5.9
3,backend,1,1,2,4.8,4.1
3,database,1,1,3,4.3,7.4
3,backend,3,0,5,4.3,23.0
2,backend,3,1,4,13.1,8.0
1,infrastruttura,1,0,3,0.7,23.9
3,backend,2,0,0,8.3,11.3
3,infrastruttura,3,1,1,2.4,14.5
3,backend,2,1,2,3.9,7.3
2,frontend,3,1,5,1.7,8.0
4,database,2,1,1,1.6,6.2
3,frontend,5,1,3,9.1,7.8
3,frontend,3,1,1,2.8,5.3
3,frontend,4,0,1,4.7,11.5
3,backend,1,0,3,6.4,5.0
3,backend,2,0,7,11.8,11.8
3,frontend,1,1,2,1.7,3.4
3,frontend,2,0,1,12.3,3.9
3,frontend,3,0,2,5.5,8.0
1,frontend,1,0,4,5.3,2.5
4,frontend,1,0,2,3.7,4.2
2,frontend,2,1,1,3.3,4.8
2,database,3,0,4,1.1,89.0
3,database,2,1,3,10.2,5.6
2,frontend,1,0,0,1.6,7.3
4,frontend,2,1,3,3.0,3.6
3,frontend,1,1,1,9.2,1.2
2,frontend,2,1,1,4.2,2.2
1,backend,5,1,1,1.9,11.9
1,infrastruttura,1,1,2,7.9,4.1
1,database,3,0,3,3.3,31.5
1,backend,3,1,1,2.9,6.2
2,frontend,1,1,2,1.6,2.3
2,backend,2,1,0,3.1,4.0
3,infrastruttura,5,1,3,3.6,23.3
2,frontend,2,1,4,6.3,4.4
1,database,1,0,3,2.5,23.2
1,frontend,2,0,0,10.4,5.1
2,database,1,1,1,9.3,4.3
2,frontend,4,1,4,9.3,5.9
2,backend,2,0,3,5.2,8.6
2,frontend,1,1,1,7.6,2.0
4,backend,3,0,6,7.1,16.1
2,backend,1,1,2,8.7,3.1
2,backend,2,0,3,9.2,13.9
3,backend,1,1,1,7.4,2.9
3,frontend,1,0,5,7.5,6.8
1,database,2,0,5,7.0,14.8
3,frontend,4,1,5,7.5,8.4
3,backend,2,1,2,4.9,5.8
4,frontend,2,1,3,3.0,3.1
4,backend,2,1,1,2.0,8.0
3,backend,2,0,3,1.6,21.4
3,infrastruttura,3,1,2,2.1,29.9
3,backend,2,1,0,8.9,4.3
4,frontend,2,1,1,11.3,1.5
3,database,3,1,0,7.2,10.1
2,frontend,4,0,6,5.5,18.8
1,frontend,2,1,3,1.1,4.1
3,backend,2,0,2,4.3,10.6
3,database,4,1,1,2.9,15.9
4,infrastruttura,1,0,2,2.9,18.2
2,infrastruttura,4,1,2,5.1,23.9
4,frontend,1,1,1,7.2,2.4
1,frontend,3,1,3,4.7,3.1
3,database,2,0,3,16.5,15.2
2,frontend,1,0,0,5.4,2.0
2,backend,1,0,4,1.0,17.8
3,infrastruttura,3,1,2,13.2,12.5
2,frontend,3,1,0,4.6,2.6
2,backend,1,1,4,11.3,3.0
4,infrastruttura,1,0,4,1.6,24.1
2,backend,1,0,3,2.5,6.6
3,infrastruttura,3,1,0,2.1,19.3
3,backend,2,1,2,8.7,5.8
1,frontend,1,1,1,10.1,1.3
4,database,2,1,1,6.6,5.4
3,database,1,0,6,5.7,14.6
3,infrastruttura,2,0,5,1.1,49.9
4,backend,2,1,1,2.7,5.3
3,backend,2,0,5,3.0,13.5
4,frontend,3,0,4,1.3,17.7
2,frontend,2,1,5,4.4,2.7
1,infrastruttura,2,1,1,6.7,4.8
3,infrastruttura,4,1,0,8.1,13.9
2,backend,2,0,2,7.0,12.8
3,infrastruttura,3,1,0,3.8,15.3
2,backend,2,1,6,3.2,7.8
2,database,1,1,4,4.0,6.3
4,backend,2,0,6,4.3,12.5
2,database,2,1,2,2.0,13.0
2,database,2,0,4,3.3,32.2
3,backend,1,1,4,2.9,6.2
3,infrastruttura,2,0,3,12.2,15.2
4,backend,2,1,0,8.6,3.2
2,database,2,1,3,6.7,7.8
4,frontend,3,0,1,2.3,11.9
3,frontend,2,1,7,7.6,6.9
4,database,2,1,0,2.7,4.9
1,database,1,0,3,7.6,10.5
2,infrastruttura,3,1,1,3.9,13.0
3,frontend,3,1,3,9.5,4.7
3,frontend,2,0,4,1.5,14.7
1,backend,3,0,7,7.4,17.7
3,infrastruttura,3,1,4,10.1,8.2
3,infrastruttura,1,1,0,4.1,7.1
2,infrastruttura,1,1,1,3.9,7.8
3,backend,3,1,0,4.7,7.7
2,infrastruttura,1,1,2,6.6,3.3
4,frontend,2,1,2,3.1,3.6
3,infrastruttura,1,0,5,2.8,25.9
3,backend,2,1,1,13.3,4.8
4,backend,3,1,2,3.7,5.8
3,backend,2,0,7,4.5,11.0
2,database,3,0,0,3.4,44.1
3,frontend,3,0,1,7.0,10.9
4,frontend,3,1,0,2.9,5.6
1,database,3,1,3,4.3,13.7
3,infrastruttura,3,0,3,8.9,40.1
2,backend,1,1,0,8.2,3.2
4,frontend,3,1,4,3.7,6.4
3,backend,3,1,3,4.8,10.0
4,frontend,2,0,4,2.4,6.0
3,frontend,6,1,2,4.8,14.2
1,frontend,2,1,4,14.9,1.6
3,backend,2,1,8,7.8,7.9
4,frontend,4,0,5,2.4,17.1
2,frontend,3,1,2,1.3,8.3
1,frontend,1,1,1,2.4,1.5
3,backend,1,0,2,1.8,7.3
3,frontend,3,1,1,4.3,5.3
1,frontend,1,1,1,9.4,1.5
2,backend,1,1,3,4.3,4.9
2,database,3,1,1,2.9,9.5
3,database,1,1,1,3.7,3.3
3,backend,1,1,1,6.5,2.2
3,database,4,1,2,5.3,12.3
4,database,2,0,4,2.5,46.6
2,backend,2,1,0,7.8,5.6
3,backend,3,1,1,2.1,7.8
2,frontend,2,0,0,5.0,7.6
3,frontend,2,0,5,3.4,10.7
3,frontend,2,1,1,4.1,2.1
3,backend,3,1,1,2.2,7.6
4,infrastruttura,2,1,3,4.8,6.1
2,frontend,1,0,4,2.0,5.3
2,backend,2,0,3,3.2,11.8
3,infrastruttura,4,1,0,3.9,17.4
3,backend,2,1,2,2.5,4.0
2,frontend,1,1,1,10.4,1.1
4,infrastruttura,1,0,0,3.2,16.8
3,frontend,2,1,1,3.7,3.8
3,frontend,1,1,0,4.7,1.1
3,backend,2,1,2,1.6,5.5
1,frontend,1,0,3,1.1,6.4
3,database,3,0,1,3.9,25.6
3,frontend,2,1,6,1.3,6.2
4,database,1,0,2,5.8,9.6
3,frontend,3,1,4,6.0,6.6
2,infrastruttura,4,0,3,5.8,34.5
2,frontend,3,0,4,7.5,8.3
2,infrastruttura,3,1,3,3.9,19.2
4,frontend,4,1,0,10.6,5.7
3,infrastruttura,2,1,2,5.4,7.4
4,database,2,0,2,10.1,15.4
4,backend,3,1,0,7.3,6.0
1,frontend,3,1,2,4.0,3.1
3,backend,1,1,2,5.4,3.2
3,backend,3,1,3,6.5,8.0
2,backend,1,1,1,1.0,4.6
3,backend,1,0,3,1.6,11.7
3,infrastruttura,2,1,1,11.9,4.8
4,infrastruttura,2,1,2,6.5,5.1
2,backend,4,1,3,8.7,9.3
4,frontend,3,0,1,3.9,9.2
4,frontend,1,1,1,10.2,1.5
4,database,1,1,1,4.0,4.5
1,infrastruttura,3,1,2,6.4,7.4
2,backend,5,1,1,11.1,9.0
3,frontend,1,1,2,6.9,1.6
2,backend,2,1,1,2.1,5.6
1,backend,2,1,1,4.2,5.5
3,infrastruttura,1,1,5,5.5,6.7
1,backend,4,1,1,6.7,7.0
3,frontend,2,1,2,9.5,3.5
4,frontend,2,0,5,6.7,7.1
3,frontend,2,1,1,4.3,2.2
4,backend,2,1,0,3.7,2.2
3,backend,2,0,5,3.9,8.9
2,frontend,3,1,3,3.2,7.0
2,frontend,1,0,10,3.1,8.1
2,infrastruttura,3,1,3,8.6,8.0
2,database,2,0,3,5.0,28.2
4,backend,2,1,0,3.3,6.1
4,backend,4,1,2,4.6,16.9
1,infrastruttura,1,0,4,3.4,20.7
1,database,2,1,4,1.2,14.8
3,infrastruttura,3,1,3,6.8,14.5
3,frontend,2,1,3,9.0,3.2
2,frontend,2,1,2,8.0,2.6
2,frontend,1,0,5,7.7,4.7
2,infrastruttura,2,1,0,2.0,7.0
3,backend,5,1,1,10.2,11.3
1,frontend,1,1,1,3.0,2.0
3,infrastruttura,3,1,6,1.8,32.9
2,infrastruttura,2,0,4,0.7,47.0
3,frontend,6,1,2,5.4,14.6
3,backend,2,1,3,10.3,4.4
2,backend,5,1,1,9.5,15.3
4,frontend,2,1,2,4.7,2.7
3,backend,2,1,3,8.5,5.9
4,frontend,2,0,5,15.2,5.0
3,infrastruttura,1,1,3,3.6,4.7
3,database,1,1,2,6.3,4.2
2,infrastruttura,2,0,2,10.5,28.8
3,database,1,1,1,1.8,4.6
3,frontend,1,0,1,1.9,3.1
3,backend,1,1,2,11.5,2.9
2,database,1,1,3,8.6,2.8
2,frontend,3,1,2,2.8,8.7
1,database,2,1,3,2.2,12.1
2,frontend,3,0,3,2.0,16.4
3,frontend,1,1,3,5.3,2.1
4,backend,2,1,2,2.9,9.5
2,backend,1,0,5,2.9,12.0
1,backend,3,1,0,2.0,6.6
2,backend,2,1,0,4.8,6.7
2,backend,2,1,0,1.8,5.0
3,database,3,1,1,6.9,9.3
1,backend,4,0,5,9.6,10.7
4,backend,2,1,2,5.5,5.4
4,backend,2,1,2,8.6,4.2
3,backend,3,1,1,4.2,7.2
4,frontend,1,1,2,2.6,2.3
3,backend,4,1,1,3.6,10.4
4,frontend,1,1,3,1.3,3.3
2,infrastruttura,2,1,4,3.0,15.6
4,database,1,1,0,4.1,3.3
2,backend,3,1,3,4.7,11.1
2,database,2,1,3,8.7,7.2
4,backend,2,1,0,10.7,4.1
2,frontend,2,1,4,5.3,3.5
2,database,2,0,5,2.1,29.5
1,infrastruttura,3,1,4,2.1,17.6
2,frontend,3,1,5,3.1,7.9
2,frontend,4,0,5,2.7,15.0
3,backend,2,1,0,5.4,3.2
3,backend,1,1,3,2.2,4.7
4,backend,2,0,3,10.9,9.9
1,backend,2,1,4,7.9,5.5
4,database,1,1,0,8.9,4.6
3,frontend,3,1,0,3.0,5.5
3,backend,2,1,5,2.2,7.8
3,infrastruttura,1,1,2,2.8,6.4
4,backend,4,1,2,4.9,8.6
1,backend,3,1,3,4.6,6.1
3,frontend,1,1,2,10.2,1.6
4,frontend,1,1,4,11.3,1.7
3,backend,3,1,3,5.1,9.0
1,backend,1,1,0,1.6,2.3
3,database,1,1,1,3.8,3.5
3,backend,4,1,2,19.5,9.8
2,infrastruttura,1,1,3,1.7,6.5
3,infrastruttura,2,0,6,5.6,26.6
4,frontend,1,0,3,2.8,4.7
3,frontend,3,1,1,14.2,2.7
2,infrastruttura,4,1,4,5.9,26.6
3,frontend,1,0,4,2.8,3.6
3,frontend,2,1,0,3.4,3.1
3,frontend,1,0,9,1.0,7.3
3,backend,1,0,3,5.5,6.5
3,frontend,2,0,3,5.6,5.2
4,frontend,4,1,1,1.6,9.2
3,backend,2,1,5,6.8,8.0
4,database,1,1,0,11.2,2.7
3,frontend,3,1,2,1.9,5.6
2,database,2,0,5,6.7,22.9
3,backend,2,0,1,6.8,11.8
1,backend,1,1,0,5.1,2.2
3,backend,2,1,0,5.4,6.1
1,frontend,2,0,2,3.3,5.0
3,frontend,1,0,4,0.9,9.4
3,infrastruttura,2,0,5,5.8,32.7
3,frontend,4,1,0,7.8,6.1
3,infrastruttura,5,0,4,2.3,74.8
2,frontend,1,1,1,2.9,1.5
2,backend,4,1,3,2.6,19.9
3,backend,2,1,3,6.1,7.0
4,database,1,1,0,5.5,7.1
4,frontend,2,0,5,2.4,6.0
4,frontend,1,1,2,4.5,2.3
2,backend,3,1,2,4.6,6.5
2,frontend,1,1,1,5.9,1.5
3,backend,1,0,3,3.6,6.2
3,database,3,1,6,9.2,13.6
3,frontend,5,1,4,5.9,8.5
3,database,3,1,4,9.1,11.2
3,frontend,2,1,0,5.8,3.2
3,infrastruttura,3,1,1,6.1,15.3
4,infrastruttura,1,1,1,1.4,8.8
2,backend,2,1,2,5.5,5.8
4,infrastruttura,1,0,4,4.4,18.2
3,database,4,0,7,9.7,47.3
2,frontend,4,1,1,8.9,6.3
4,frontend,3,1,1,10.3,2.9
4,frontend,1,1,1,2.9,2.3
3,backend,1,1,0,4.7,2.2
2,backend,3,1,1,10.9,6.1
2,backend,1,0,3,2.9,5.8
3,backend,4,0,0,9.7,13.5
2,backend,3,1,2,9.1,5.9
2,frontend,4,0,2,4.6,10.6
3,frontend,4,0,4,12.6,10.8
1,infrastruttura,3,1,3,9.3,5.2
3,frontend,2,0,1,1.8,4.7
